scen,offshore,onshore,pv,battery,methanation,offshore,onshore,pv,battery,methanation
269,191.3995384,139.7363357,57.89598475,15.95096264,143.4108636,central,25%,50%,50%,central
270,191.3995384,139.7363357,57.89598475,15.95096264,215.1162955,central,25%,50%,50%,50%
271,238.8101121,139.7363357,20.5668,5.316987546,71.70543182,25%,25%,-50%,-50%,-50%
272,238.8101121,139.7363357,20.5668,5.316987546,143.4108636,25%,25%,-50%,-50%,central
273,238.8101121,139.7363357,20.5668,5.316987546,215.1162955,25%,25%,-50%,-50%,50%
274,238.8101121,139.7363357,20.5668,10.63397509,71.70543182,25%,25%,-50%,central,-50%
275,238.8101121,139.7363357,20.5668,10.63397509,143.4108636,25%,25%,-50%,central,central
276,238.8101121,139.7363357,20.5668,10.63397509,215.1162955,25%,25%,-50%,central,50%
277,238.8101121,139.7363357,20.5668,15.95096264,71.70543182,25%,25%,-50%,50%,-50%
278,238.8101121,139.7363357,20.5668,15.95096264,143.4108636,25%,25%,-50%,50%,central
279,238.8101121,139.7363357,20.5668,15.95096264,215.1162955,25%,25%,-50%,50%,50%
280,238.8101121,139.7363357,29.89909335,5.316987546,71.70543182,25%,25%,-25%,-50%,-50%
281,238.8101121,139.7363357,29.89909335,5.316987546,143.4108636,25%,25%,-25%,-50%,central
282,238.8101121,139.7363357,29.89909335,5.316987546,215.1162955,25%,25%,-25%,-50%,50%
283,238.8101121,139.7363357,29.89909335,10.63397509,71.70543182,25%,25%,-25%,central,-50%
284,238.8101121,139.7363357,29.89909335,10.63397509,143.4108636,25%,25%,-25%,central,central
285,238.8101121,139.7363357,29.89909335,10.63397509,215.1162955,25%,25%,-25%,central,50%
286,238.8101121,139.7363357,29.89909335,15.95096264,71.70543182,25%,25%,-25%,50%,-50%
287,238.8101121,139.7363357,29.89909335,15.95096264,143.4108636,25%,25%,-25%,50%,central
288,238.8101121,139.7363357,29.89909335,15.95096264,215.1162955,25%,25%,-25%,50%,50%
289,238.8101121,139.7363357,39.23139049,5.316987546,71.70543182,25%,25%,central,-50%,-50%
290,238.8101121,139.7363357,39.23139049,5.316987546,143.4108636,25%,25%,central,-50%,central
291,238.8101121,139.7363357,39.23139049,5.316987546,215.1162955,25%,25%,central,-50%,50%
292,238.8101121,139.7363357,39.23139049,10.63397509,71.70543182,25%,25%,central,central,-50%
293,238.8101121,139.7363357,39.23139049,10.63397509,143.4108636,25%,25%,central,central,central
294,238.8101121,139.7363357,39.23139049,10.63397509,215.1162955,25%,25%,central,central,50%
295,238.8101121,139.7363357,39.23139049,15.95096264,71.70543182,25%,25%,central,50%,-50%
